RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019
281,40,Pima County,County,AZ,AZ,Tucson,4,19,207130,208364,209556,210134,211197,212835,214470,215672,216793,217948,218923,220666
2975,41,Montgomery County,County,MD,MD,Washington-Arlington-Alexandria,24,31,483261,484300,483278,480933,481161,482837,483347,483516,483305,484366,485537,485383
2347,42,Honolulu County,County,HI,HI,Urban Honolulu,15,3,726049,726774,727653,726754,725019,723552,724071,723994,722768,721202,718964,717039
3148,43,Westchester County,County,NY,NY,New York-Newark-Jersey City,36,119,625136,621730,621564,624024,627896,631551,632248,633196,632536,630053,626800,626519
2804,44,Milwaukee County,County,WI,WI,Milwaukee-Waukesha-West Allis,55,79,142170,142825,143834,145182,145906,146398,147098,147484,147810,148374,149143,150345
1018,45,Fresno County,County,CA,CA,Fresno,6,19,258576,259231,260468,261096,261332,262662,263547,264506,264271,265299,265873,266386
1388,46,Shelby County,County,TN,TN,Memphis,47,157,137828,139051,140283,140911,142030,142710,143645,144430,145385,145971,146777,147782
1020,47,Fulton County,County,GA,GA,Atlanta-Sandy Springs-Roswell,13,121,303952,303694,304370,305248,307431,307848,308193,307926,308309,308394,309026,310166
3102,48,Mecklenburg County,County,NC,NC,Charlotte-Concord-Gastonia,37,119,257674,258004,258724,259893,260944,261619,261974,262733,263276,264289,265825,267678
157,49,Erie County,County,NY,NY,Buffalo-Cheektowaga-Niagara Falls,36,29,170361,171396,173073,174095,175667,176826,177655,177680,177336,177136,177481,178184
1682,50,DuPage County,County,IL,IL,Chicago-Naperville-Elgin,17,43,300889,300987,301179,301895,302804,303278,303296,302339,301722,301332,301659,302194
2694,51,Fairfield County,County,CT,CT,Bridgeport-Stamford-Norwalk,9,1,419184,419934,420033,421505,423620,422671,420767,417615,415698,415311,414751,414802
2480,52,Pinellas County,County,FL,FL,Tampa-St. Petersburg-Clearwater,12,103,236616,236792,236782,236799,238089,239233,240277,240454,240820,241277,242551,243728
874,53,Bergen County,County,NJ,NJ,New York-Newark-Jersey City,34,3,495195,492507,491172,491940,492824,493247,494285,495962,496447,496197,494386,494059
1165,54,Marion County,County,IN,IN,Indianapolis-Carmel-Anderson,18,97,145720,146527,146791,146539,147265,147578,147821,148019,149048,150287,151403,151679
324,55,Wake County,County,NC,NC,Raleigh,37,183,303106,304890,305754,306039,305915,306956,308171,308887,309384,310458,311682,312330
2337,56,Hartford County,County,CT,CT,Hartford-West Hartford-East Hartford,9,3,223009,223816,223597,223757,223372,224009,224176,224056,224181,224732,225267,225495
489,57,Duval County,County,FL,FL,Jacksonville,12,31,192963,193261,193466,194108,194800,196418,197618,198374,198664,199283,199597,200363
3246,58,Prince Georges County,County,MD,MD,Washington-Arlington-Alexandria,24,33,314527,316228,317619,317954,318476,318974,318632,319150,319559,320852,321175,321303
2815,59,New Haven County,County,CT,CT,New Haven-Milford,9,9,228856,229509,229728,230231,231103,232123,232920,232839,232040,230898,230638,230492
1155,60,Macomb County,County,MI,MI,Detroit-Warren-Dearborn,26,99,182120,182638,182419,182004,183034,184314,186136,186138,186265,185604,185567,186188
204,61,Kern County,County,CA,CA,Bakersfield,6,29,223091,224276,224880,224839,225771,227437,228538,229399,229860,230576,231549,231856
2061,62,Ventura County,County,CA,CA,Oxnard-Thousand Oaks-Ventura,6,111,597896,597219,597747,601117,602625,603223,602539,602417,601754,602732,603413,606786
2802,63,Middlesex County,County,NJ,NJ,New York-Newark-Jersey City,34,23,346190,346435,347117,346525,348105,349305,350492,348775,347077,345804,346562,349291
2314,64,Gwinnett County,County,GA,GA,Atlanta-Sandy Springs-Roswell,13,135,239810,240778,241734,243145,244240,244859,245831,246732,247421,247708,248773,249967
3227,65,San Francisco County,County,CA,CA,San Francisco-Oakland-Hayward,6,75,1426854,1424943,1422220,1414585,1420596,1425140,1432941,1429055,1428259,1435516,1444500,1458716
2626,66,Baltimore County,County,MD,MD,Baltimore-Columbia-Towson,24,5,258595,259702,260186,259863,259581,259838,260431,260507,259619,258851,257888,257779
2322,67,Hamilton County,County,OH,OH,Cincinnati,39,61,159714,161338,162464,162353,161777,161560,162179,163144,164712,165674,166233,166690
1690,68,El Paso County,County,TX,TX,El Paso,48,141,131385,131901,132910,134154,135407,136406,137041,137526,136790,135803,135184,135672
2981,69,Montgomery County,County,PA,PA,Philadelphia-Camden-Wilmington,42,91,315276,315492,317073,320100,321218,320843,320908,321408,322094,322617,323767,324818
2879,70,Worcester County,County,MA,MA,Worcester,25,27,293903,293850,293242,294321,296289,298514,299772,300400,300224,300732,301357,302875
1322,71,Pierce County,County,WA,WA,Seattle-Tacoma-Bellevue,53,53,360442,362000,362254,361901,364101,367385,370522,372388,375039,376890,378970,381016
504,72,Essex County,County,NJ,NJ,New York-Newark-Jersey City,34,13,408073,411631,414211,413801,410971,410157,412236,413543,413470,411542,411780,411788
951,73,Collin County,County,TX,TX,Dallas-Fort Worth-Arlington,48,85,342784,343130,342363,341168,340975,340998,340865,340577,341090,340773,340745,340022
1776,74,Hidalgo County,County,TX,TX,McAllen-Edinburg-Mission,48,215,112941,113179,113478,114075,114892,115660,116490,116945,117327,117231,117372,117868
1223,75,Monroe County,County,NY,NY,Rochester,36,55,151956,153023,153970,154939,155829,156834,156905,157012,156897,157195,157627,158056
503,76,Essex County,County,MA,MA,Boston-Cambridge-Newton,25,9,459953,466648,468228,466888,461235,458857,458294,460313,463624,467008,469515,469993
2742,77,Jefferson County,County,KY,KY,Louisville/Jefferson County,21,111,172601,173086,173434,173856,174915,176025,176798,177043,177417,177910,178800,179914
2810,78,Multnomah County,County,OR,OR,Portland-Vancouver-Hillsboro,41,51,426383,427371,426133,425320,425264,425756,425749,425549,424481,424722,425963,427540
2045,79,Suffolk County,County,MA,MA,Boston-Cambridge-Newton,25,25,594962,592305,589874,590548,595232,598909,599086,597154,594705,594196,593431,594443
2463,80,Oklahoma County,County,OK,OK,Oklahoma City,40,109,141374,142272,142475,142694,142911,143822,144952,145955,146706,147277,147891,148367
2842,81,San Mateo County,County,CA,CA,San Francisco-Oakland-Hayward,6,81,1406124,1397405,1386709,1388006,1396130,1403801,1404369,1390193,1390505,1385570,1390102,1391967
2847,82,Snohomish County,County,WA,WA,Seattle-Tacoma-Bellevue,53,61,476544,475835,475254,473758,474973,477519,480610,482208,481783,481970,482666,486891
220,83,Lake County,County,IL,IL,Chicago-Naperville-Elgin,17,97,244673,244333,244248,245096,246149,247534,247757,247844,246901,246388,245699,245560
984,84,Dekalb County,County,GA,GA,Atlanta-Sandy Springs-Roswell,13,89,225338,226700,227755,229181,230446,231862,232358,232860,232763,233035,233199,233613
135,85,Cobb County,County,GA,GA,Atlanta-Sandy Springs-Roswell,13,67,270347,269814,271191,271834,274262,274913,275689,276843,278751,279746,279511,279277
3134,86,San Joaquin County,County,CA,CA,Stockton-Lodi,6,77,375355,373683,375619,375602,377484,379497,380934,382134,381109,380909,380967,382888
330,87,Will County,County,IL,IL,Chicago-Naperville-Elgin,17,197,223146,223523,223531,223861,224509,225719,226349,227095,226657,226162,225026,225099
1804,88,Jackson County,County,MO,MO,Kansas City,29,95,152577,153383,153306,153429,153909,154771,155742,156139,156585,156901,157323,157252
1948,89,Norfolk County,County,MA,MA,Boston-Cambridge-Newton,25,21,518157,517129,516678,516938,519156,523959,525117,526842,525190,524802,524558,528796
988,90,Denton County,County,TX,TX,Dallas-Fort Worth-Arlington,48,121,309345,309290,308532,307628,307645,307961,308542,308791,309027,308842,309180,309217
2889,91,Bernalillo County,County,NM,NM,Albuquerque,35,1,202545,203538,204119,204814,205659,207130,208529,209928,211160,211965,212881,214139
2732,92,Jefferson County,County,AL,AL,Birmingham-Hoover,1,73,135839,136649,137223,137434,137525,138720,140411,141507,141831,142131,142890,144046
1106,93,Hudson County,County,NJ,NJ,New York-Newark-Jersey City,34,17,470773,471481,473673,474431,476167,480168,483915,485464,484447,482251,482734,482919
2441,94,Monmouth County,County,NJ,NJ,New York-Newark-Jersey City,34,25,439047,439260,439478,439544,441181,442343,444132,444077,443985,442250,439771,438748
2243,95,Davidson County,County,TN,TN,Nashville-Davidson--Murfreesboro--Franklin,47,37,280308,281053,281757,282102,282925,284109,285149,286028,286666,287718,289089,290197
3001,96,Providence County,County,RI,RI,Providence-Warwick,44,7,259414,258972,259534,261069,262683,264498,265781,266249,266449,266822,268517,269912
414,97,Bucks County,County,PA,PA,Philadelphia-Camden-Wilmington,42,17,336185,336795,338779,340241,341625,341807,341633,342301,342937,343559,344133,344679
1689,98,El Paso County,County,CO,CO,Colorado Springs,8,41,303131,304905,305748,306168,306778,308320,310588,313299,316080,318008,318753,319659
3236,99,Baltimore City,County,MD,MD,Baltimore-Columbia-Towson,24,510,153226,154065,154319,154304,154361,155385,156148,156392,155156,153884,153591,154213
80,100,Lee County,County,FL,FL,Cape Coral-Fort Myers,12,71,238110,238099,237025,237415,236580,236833,237633,238534,238864,238543,238429,237997
757,101,Tulsa County,County,OK,OK,Tulsa,40,143,147681,147681,148076,148338,148705,149164,149635,149974,150370,151187,151598,151437
201,102,Kent County,County,MI,MI,Grand Rapids-Wyoming,26,81,208334,209162,210296,211752,214449,216262,217327,216376,216180,216969,219184,220927
285,103,Polk County,County,FL,FL,Lakeland-Winter Haven,12,105,184174,184946,185406,185479,186749,187812,189151,189393,189090,188754,189659,191258
3289,104,District of Columbia,County,DC,DC,Washington-Arlington-Alexandria,11,1,631410,630776,634222,636582,642246,644263,645444,645764,645588,646088,644798,645759
989,105,Denver County,County,CO,CO,Denver-Aurora-Lakewood,8,31,466591,466551,465246,464257,463587,464245,464961,466195,466912,466595,465962,466612
2698,106,Fort Bend County,County,TX,TX,Houston-The Woodlands-Sugar Land,48,157,263798,264150,264713,264211,264005,264120,265077,265536,266288,266571,267079,266908
659,107,Ocean County,County,NJ,NJ,New York-Newark-Jersey City,34,29,292537,292833,292327,292652,293972,295849,296347,295576,293510,292657,292546,292944
2127,108,Arapahoe County,County,CO,CO,Denver-Aurora-Lakewood,8,5,399756,400997,403027,404756,405249,405452,406049,405766,406181,405885,407303,409092
2251,109,Delaware County,County,PA,PA,Philadelphia-Camden-Wilmington,42,45,224648,225092,225279,225384,226768,228822,231278,233329,234188,234804,234988,235911
1558,110,Bristol County,County,MA,MA,Providence-Warwick,25,5,338753,339033,340186,342123,343865,345065,344552,344422,344112,344648,346043,346695
1822,111,Johnson County,County,KS,KS,Kansas City,20,91,297096,297790,297931,298151,298083,298546,298898,299505,299800,300502,300966,302025
1556,112,Brevard County,County,FL,FL,Palm Bay-Melbourne-Titusville,12,9,220784,222628,222911,223139,222761,223745,224773,224720,224028,224196,225106,226481
1404,113,Summit County,County,OH,OH,Akron,39,153,139578,140437,140899,141197,141690,143236,144339,144954,145306,145432,145494,145946
2986,114,New Castle County,County,DE,DE,Philadelphia-Camden-Wilmington,10,3,252696,253655,254663,254497,253358,251965,251185,250967,250851,250306,249810,249833
3152,115,Anne Arundel County,County,MD,MD,Baltimore-Columbia-Towson,24,3,356512,356610,356666,357868,359389,359997,359945,358924,359180,358949,360193,360848
771,116,Union County,County,NJ,NJ,New York-Newark-Jersey City,34,39,381956,384407,386259,386694,386661,386883,388545,388369,389085,390064,391327,391755
2980,117,Montgomery County,County,OH,OH,Dayton,39,113,110508,110973,111113,111606,112466,113691,114598,114995,115093,115712,116389,117244
2734,118,Jefferson County,County,CO,CO,Denver-Aurora-Lakewood,8,59,456781,458267,460072,461860,462117,463420,464410,465641,465802,466541,466356,468202
3069,119,Washington County,County,OR,OR,Portland-Vancouver-Hillsboro,41,67,429728,430901,430024,429830,430402,432409,433341,434665,434154,434723,433689,434096
2776,120,Lancaster County,County,PA,PA,Lancaster,42,71,230038,230564,229382,228721,228636,229853,231187,232287,233065,233614,233548,233463
1676,121,Douglas County,County,NE,NE,Omaha-Council Bluffs,31,55,190039,190197,190528,191012,192434,193644,195230,196464,197524,197764,198629,199527
322,122,Utah County,County,UT,UT,Provo-Orem,49,49,347931,348320,349430,350625,352420,354579,356217,357745,358473,358902,359343,359338
197,123,Kane County,County,IL,IL,Chicago-Naperville-Elgin,17,89,237059,239017,239597,239543,239374,239170,239258,238769,239007,238398,238325,237834
3033,124,Stanislaus County,County,CA,CA,Modesto,6,99,319727,320283,320280,322662,322878,324458,324103,325394,325599,328009,329727,331301
911,125,Camden County,County,NJ,NJ,Philadelphia-Camden-Wilmington,34,7,178950,178435,179560,180031,181529,182320,183219,183878,183685,183558,183633,184971
1349,126,Ramsey County,County,MN,MN,Minneapolis-St. Paul-Bloomington,27,123,259572,260184,260034,259583,261521,263395,265617,265896,266047,265801,265498,265698
1964,127,Passaic County,County,NJ,NJ,New York-Newark-Jersey City,34,31,351046,350690,350952,352861,354695,356294,357595,358562,358360,358034,357595,358367
1611,128,Chester County,County,PA,PA,Philadelphia-Camden-Wilmington,42,29,363350,365444,366711,365840,365117,366159,368281,369993,370481,370407,369956,369985
2537,129,Sedgwick County,County,KS,KS,Wichita,20,173,139106,139564,139903,140615,141474,142571,143498,144215,144575,144742,144682,144745
221,130,Lake County,County,IN,IN,Chicago-Naperville-Elgin,18,89,152337,153561,154738,155599,156573,157688,158739,159646,160407,161300,162072,162867
2482,131,Plymouth County,County,MA,MA,Boston-Cambridge-Newton,25,23,399194,398004,397136,395637,396152,396010,398288,399384,401828,402125,402221,402864
2063,132,Volusia County,County,FL,FL,Deltona-Daytona Beach-Ormond Beach,12,127,207289,207632,208696,209210,210957,212014,213757,215327,216542,217456,218087,218517
1241,133,Morris County,County,NJ,NJ,New York-Newark-Jersey City,34,27,451931,451962,449053,448289,448153,449878,450091,449351,447831,447352,447040,446965
2312,134,Guilford County,County,NC,NC,Greensboro-High Point,37,81,158709,159494,160110,160844,161715,162679,163745,164737,165787,166473,167079,167763
146,135,Dane County,County,WI,WI,Madison,55,25,285322,287137,287869,288480,288817,289671,290551,291472,291992,293248,293805,295351
1396,136,Sonoma County,County,CA,CA,Santa Rosa,6,97,657682,649305,645568,645271,650133,656136,658918,658387,653734,651746,647477,645590
2033,137,Spokane County,County,WA,WA,Spokane-Spokane Valley,53,63,257166,258797,260228,262426,265419,269660,272754,274437,275567,277090,277815,279064
2511,138,Richmond County,County,NY,NY,New York-Newark-Jersey City,36,85,562687,562452,560002,557392,555877,555431,555605,554480,555682,554983,553964,551705
2465,139,Onondaga County,County,NY,NY,Syracuse,36,67,145164,145198,144719,144851,145520,146360,146941,147471,148033,148872,149419,149763
669,140,Pasco County,County,FL,FL,Tampa-St. Petersburg-Clearwater,12,101,182812,183743,183369,183937,184714,185987,187542,188667,189673,190278,191134,191868
1746,141,Hampden County,County,MA,MA,Springfield,25,13,209948,209886,210592,212676,214875,215829,216175,216265,217187,218171,218937,219224
2983,142,Montgomery County,County,TX,TX,Houston-The Woodlands-Sugar Land,48,339,249380,249834,250639,251256,252447,253729,254759,255411,255441,255455,254756,255314
2934,143,Greenville County,County,SC,SC,Greenville-Anderson-Mauldin,45,45,211151,211730,211751,212486,213206,214291,215322,215999,216110,216489,217172,218164
2896,144,Burlington County,County,NJ,NJ,Philadelphia-Camden-Wilmington,34,5,234358,235372,236941,237667,239344,240048,241458,240964,240424,239144,238895,238509
1442,145,Tulare County,County,CA,CA,Visalia-Porterville,6,107,221540,221112,220911,221531,222756,223505,223222,223031,223600,225291,225474,225775
616,146,Lucas County,County,OH,OH,Toledo,39,95,100831,101055,101012,101133,101795,102544,103616,104191,104892,105361,106157,107141
353,147,Adams County,County,CO,CO,Denver-Aurora-Lakewood,8,1,373957,374331,373930,374020,373124,373849,374562,375452,375606,376107,376611,377881
3266,148,East Baton Rouge Parish,County,LA,LA,Baton Rouge,22,33,185245,185022,184160,183379,183172,183631,184295,184384,183898,183458,182854,182992
3286,149,Virginia Beach City,County,VA,VA,Virginia Beach-Norfolk-Newport News,51,810,278397,278632,279377,280095,280106,280529,281377,282279,283148,283822,284696,285313
343,150,York County,County,PA,PA,York-Hanover,42,133,182314,183034,183613,184249,184943,185754,187125,188027,188550,188898,189486,190485
2743,151,Jefferson Parish,County,LA,LA,New Orleans-Metairie,22,51,205605,205380,205284,205307,206178,207197,208070,208755,209006,209723,210370,212014
215,152,Knox County,County,TN,TN,Knoxville,47,93,196590,197876,198536,199730,200647,201858,202224,203398,204815,206453,207664,208430
287,153,Polk County,County,IA,IA,Des Moines-West Des Moines,19,153,194530,195828,196625,196946,196653,197172,197359,197967,198005,198360,198770,199642
1721,154,Genesee County,County,MI,MI,Flint,26,49,119819,120790,122045,123367,124325,125337,126550,127259,127768,127763,128789,129262
448,155,Clark County,County,WA,WA,Portland-Vancouver-Hillsboro,53,11,371304,370377,370453,371571,373703,374789,375879,376727,378948,379835,381477,382719
3229,156,Santa Barbara County,County,CA,CA,Santa Maria-Santa Barbara,6,83,643636,644941,643060,640416,638847,642246,645337,646763,645708,646662,648667,651452
2538,157,Seminole County,County,FL,FL,Orlando-Kissimmee-Sanford,12,117,257643,259736,261283,261625,262218,263369,265017,265602,266438,266990,266877,266978
3081,158,Williamson County,County,TX,TX,Austin-Round Rock,48,491,313958,317033,319732,320803,321608,322636,324085,325042,325405,322658,319387,316939
1485,159,Washoe County,County,NV,NV,Reno,32,31,389315,390583,391059,390839,391959,393694,393532,391901,391608,393123,394599,395143
2444,160,Monterey County,County,CA,CA,Salinas,6,53,599821,601920,603520,605150,604564,605784,605485,606496,605537,605993,606999,608034
1395,161,Solano County,County,CA,CA,Vallejo-Fairfield,6,95,443387,441870,441287,443498,444229,445351,448536,451234,452102,451139,449598,448575
1208,162,Mobile County,County,AL,AL,Mobile,1,97,121387,121695,122301,122777,123130,123646,124194,124835,125124,125696,126309,127201
385,163,Berks County,County,PA,PA,Reading,42,11,183852,184389,184872,185258,185761,186730,187431,187989,188459,189249,190236,191342
1585,164,Cameron County,County,TX,TX,Brownsville-Harlingen,48,61,99830,100553,101177,101468,101504,101896,102287,102854,102924,103046,103110,103892
3247,165,Prince William County,County,VA,VA,Washington-Arlington-Alexandria,51,153,383255,385559,387402,389955,390018,390515,391014,392538,392536,393322,396843,400655
3166,166,Hillsborough County,County,NH,NH,Manchester-Nashua,33,11,295601,296881,297265,297589,299475,301783,303749,304210,304303,305095,305956,307094
971,167,Dakota County,County,MN,MN,Minneapolis-St. Paul-Bloomington,27,37,292674,292678,293230,294521,296452,300066,302318,303075,303139,303738,304303,305859
66,168,Ada County,County,ID,ID,Boise City,16,1,323056,325193,327743,329175,331705,333472,336592,340334,344363,347214,348672,349824
2596,169,Waukesha County,County,WI,WI,Milwaukee-Waukesha-West Allis,55,133,285632,287030,288219,290291,290948,291949,292204,293059,293944,294444,294505,294483
2507,170,Richland County,County,SC,SC,Columbia,45,79,149454,149753,149959,150371,150967,151440,151677,151928,152304,152960,153697,154380
1981,171,Pulaski County,County,AR,AR,Little Rock-North Little Rock-Conway,5,119,139114,139362,139259,139403,139165,139232,138920,139094,139195,139577,139867,140172
2528,172,Sarasota County,County,FL,FL,North Port-Sarasota-Bradenton,12,115,271557,272422,272808,272572,272143,273080,275265,275726,275133,273593,274409,275780
2661,173,Clackamas County,County,OR,OR,Portland-Vancouver-Hillsboro,41,5,450776,451587,452434,453028,452284,452006,451290,450573,450940,452862,453156,455314
685,174,Pinal County,County,AZ,AZ,Phoenix-Mesa-Scottsdale,4,21,222747,224069,223867,224657,226438,228646,229634,230799,231698,233174,234113,236015
730,175,Stark County,County,OH,OH,Canton-Massillon,39,151,130584,131453,132069,132512,133279,134317,135513,136163,136606,137073,137683,138450
1290,176,Orange County,County,NY,NY,New York-Newark-Jersey City,36,71,271762,273321,275499,277849,279623,280969,281335,281605,281891,282594,283121,283683
904,177,Butler County,County,OH,OH,Cincinnati,39,17,180728,182863,184675,185656,185490,185561,185903,186441,186948,186873,187001,187559
1201,178,Mercer County,County,NJ,NJ,Trenton,34,21,249712,249350,251470,252955,255914,256778,257493,256925,256125,255482,255339,256279
3200,179,Westmoreland County,County,PA,PA,Pittsburgh,42,129,165136,165891,166238,166286,166731,167352,167977,168169,168241,168984,170147,171550
3223,180,Saint Charles County,County,MO,MO,St. Louis,29,183,231533,232226,232987,233740,235143,236431,237333,237669,237667,237768,238466,239390
367,181,Allen County,County,IN,IN,Fort Wayne,18,3,138668,139646,140933,142082,143057,143642,144628,145710,146791,147507,148081,148549
231,182,Lane County,County,OR,OR,Eugene,41,39,300744,301286,302240,304136,306162,309738,312151,314482,315267,317208,317988,320192
1712,183,Forsyth County,County,NC,NC,Winston-Salem,37,67,154367,155188,156257,157731,158659,159565,160253,161014,161656,162267,163500,164585
2897,184,Charleston County,County,SC,SC,Charleston-North Charleston,45,19,346917,347420,348332,349350,349449,349568,349947,350441,350380,349481,349403,349808
1146,185,Lehigh County,County,PA,PA,Allentown-Bethlehem-Easton,42,77,208819,208664,208072,207690,208798,210583,212129,212711,213123,213170,213704,213175
1325,186,Placer County,County,CA,CA,Sacramento--Roseville--Arden-Arcade,6,61,510110,511680,511867,511984,515830,519183,521206,522447,523133,522011,520789,522296
2869,187,Washtenaw County,County,MI,MI,Ann Arbor,26,161,304524,306073,307625,307371,308528,309070,310050,310022,308213,306159,305046,306154
1953,188,Orleans Parish,County,LA,LA,New Orleans-Metairie,22,71,227081,227364,227334,227876,228512,229345,230139,230214,230856,230367,230594,231359
